,k,accuracy,precision,recall,f1
53,107,[0.99936133 0.99688648 0.99992017 1.         0.96152004],[0.99910704 0.99566185 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94615728],[0.99955332 0.99782621 0.99994414 1.         0.97233383]
54,109,[0.99936133 0.99688648 0.99992017 1.         0.96167971],[0.99910704 0.99566185 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.9463807 ],[0.99955332 0.99782621 0.99994414 1.         0.97245179]
55,111,[0.99936133 0.99688648 0.99992017 1.         0.96167971],[0.99910704 0.99566185 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.9463807 ],[0.99955332 0.99782621 0.99994414 1.         0.97245179]
56,113,[0.99928149 0.99680664 0.99992017 1.         0.96175954],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.9464924 ],[0.99949752 0.99777059 0.99994414 1.         0.97251076]
57,115,[0.99928149 0.99680664 0.99992017 1.         0.96183937],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94660411],[0.99949752 0.99777059 0.99994414 1.         0.97256972]
58,117,[0.99928149 0.99680664 0.99992017 1.         0.96191921],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94671582],[0.99949752 0.99777059 0.99994414 1.         0.97262868]
59,119,[0.99928149 0.99680664 0.99992017 1.         0.96215871],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94705094],[0.99949752 0.99777059 0.99994414 1.         0.97280551]
60,121,[0.99928149 0.99680664 0.99992017 1.         0.96223854],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94716265],[0.99949752 0.99777059 0.99994414 1.         0.97286444]
61,123,[0.99928149 0.99680664 0.99992017 1.         0.96239821],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94738606],[0.99949752 0.99777059 0.99994414 1.         0.97298227]
62,125,[0.99928149 0.99680664 0.99992017 1.         0.96247805],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94749777],[0.99949752 0.99777059 0.99994414 1.         0.97304118]
63,127,[0.99928149 0.99680664 0.99992017 1.         0.96247805],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99988828 1.         0.94749777],[0.99949752 0.99777059 0.99994414 1.         0.97304118]
